CID,BDATE,GEN
NASAW00011776,1978-12-31,Male
NASAW00011777,1978-01-21,Female
NASAW00011778,1976-09-17,Female
NASAW00011779,1977-01-15,Female
NASAW00011780,1977-05-19,Female
NASAW00011781,1976-09-06,Male
NASAW00011782,1982-03-13,Female
NASAW00011783,1982-11-13,Female
NASAW00011784,1978-06-18,Male
NASAW00011785,1983-02-21,Male
NASAW00011786,1978-03-13,Male
NASAW00011787,1978-03-05,Male
NASAW00011788,1977-08-18,Female
NASAW00011789,1981-02-16,Female
NASAW00011790,1981-05-17,Male
NASAW00011791,1975-10-19,Male
NASAW00011792,1974-11-24,Female
NASAW00011793,1980-03-16,Male
NASAW00011794,1975-05-01,Female
NASAW00011795,1974-08-15,Female
NASAW00011796,1985-08-03,Female
NASAW00011797,1980-03-03,Male
NASAW00011798,1974-08-12,Male
NASAW00011799,1980-09-09,Male
NASAW00011800,1975-05-07,Female
NASAW00011801,1975-03-16,Male
NASAW00011802,1977-02-05,Female
NASAW00011803,1977-03-11,Female
NASAW00011804,1976-10-15,Female
NASAW00011805,1976-09-08,Male
NASAW00011806,1982-08-06,Female
NASAW00011807,1977-03-03,Male
NASAW00011808,1974-10-10,Male
NASAW00011809,1973-07-01,Male
NASAW00011810,1978-01-03,Male
NASAW00011811,1978-06-11,Female
NASAW00011812,1973-03-21,Male
NASAW00011813,1973-05-11,Female
NASAW00011814,1976-01-05,Male
NASAW00011815,1981-04-20,Female
NASAW00011816,1981-10-19,Male
NASAW00011817,1981-11-23,Female
NASAW00011818,1975-10-20,Male
NASAW00011819,1973-04-08,Male
NASAW00011820,1977-08-22,Female
NASAW00011821,1971-10-13,Male
NASAW00011822,1971-12-11,Female
NASAW00011823,1977-10-20,Female
NASAW00011824,1977-10-03,Female
NASAW00011825,1971-11-15,Female
NASAW00011826,1971-08-15,Female
NASAW00011827,1980-09-16,Female
NASAW00011828,1980-06-04,Female
NASAW00011829,1975-05-02,Female
NASAW00011830,1974-07-15,Female
NASAW00011831,1975-05-24,Male
NASAW00011832,1976-04-01,Female
NASAW00011833,1982-01-16,Male
NASAW00011834,1982-04-20,M
NASAW00011835,1970-12-17,Male
NASAW00011836,1970-10-25,M
NASAW00011837,1976-08-05,F
NASAW00011838,1970-08-09,Male
NASAW00011839,1976-07-21,Male
NASAW00011840,1976-05-13,Male
NASAW00011841,1969-09-13,Male
NASAW00011842,1970-04-03,Male
NASAW00011843,1975-11-08,Female
NASAW00011844,1969-10-06,Female
NASAW00011845,1930-02-15,Female
NASAW00011846,1969-12-13,Female
NASAW00011847,1970-05-31,Female
NASAW00011848,1975-02-24,Male
NASAW00011849,1970-03-13,Female
NASAW00011850,1980-09-16,Female
NASAW00011851,1969-03-07,Female
NASAW00011852,1969-04-23,Male
NASAW00011853,1979-11-15,Female
NASAW00011854,1973-10-16,Male
NASAW00011855,1974-08-09,Male
NASAW00011856,1969-02-13,Male
NASAW00011857,1974-03-08,Female
NASAW00011858,1968-06-05,Male
NASAW00011859,1968-03-08,Male
NASAW00011860,1967-07-09,Female
NASAW00011861,1967-10-22,Female
NASAW00011862,1972-09-11,Female
NASAW00011863,1967-04-10,Female
NASAW00011864,1967-03-06,Female
NASAW00011865,1966-08-06,Female
NASAW00011866,1966-12-30,Male
NASAW00011867,1971-04-21,Male
NASAW00011868,1973-01-31,Female
NASAW00011869,1984-05-01,Female
NASAW00011870,1978-07-10,Female
NASAW00011871,1978-08-12,Male
NASAW00011872,1978-07-17,Female
NASAW00011873,1972-10-09,Male
NASAW00011874,1978-03-06,Male
NASAW00011875,1966-01-31,Male
NASAW00011876,1966-05-13,Female
NASAW00011877,1966-04-06,Female
NASAW00011878,1971-02-04,Female
NASAW00011879,1971-09-30,Male
NASAW00011880,1965-02-16,Female
NASAW00011881,1965-01-20,Male
NASAW00011882,1975-09-05,Male
NASAW00011883,1965-02-10,Female
NASAW00011884,1970-04-22,Female
NASAW00011885,1970-09-21,Male
NASAW00011886,1963-07-20,Female
NASAW00011887,1963-10-03,Male
NASAW00011888,1969-12-18,Male
NASAW00011889,1963-11-25,Male
NASAW00011890,1964-05-14,Female
NASAW00011891,1969-09-13,Female
NASAW00011892,1975-04-07,Male
NASAW00011893,1974-08-09,Male
NASAW00011894,1980-04-30,Female
NASAW00011895,1975-01-18,Male
NASAW00011896,1975-05-18,Male
NASAW00011897,1974-05-28,Male
NASAW00011898,1975-12-31,Female
NASAW00011899,1976-03-15,Female
NASAW00011900,1981-03-03,Male
NASAW00011901,1973-08-18,Female
NASAW00011902,1972-09-14,Male
NASAW00011903,1985-10-21,Female
NASAW00011904,1986-05-05,Female
NASAW00011905,1974-12-14,Male
NASAW00011906,1972-08-17,Female
NASAW00011907,1973-03-07,Female
NASAW00011908,1972-01-08,Male
NASAW00011909,1971-08-10,Female
NASAW00011910,1971-12-10,Female
NASAW00011911,1972-05-15,Female
NASAW00011912,2066-06-16,Female
NASAW00011913,1970-12-09,Female
NASAW00011914,1979-05-05,Female
NASAW00011915,9999-09-13,Male
NASAW00011916,1976-09-03,Male
NASAW00011917,1971-04-21,Male
NASAW00011918,1969-08-31,Female
NASAW00011919,1969-08-17,Male
NASAW00011920,1975-02-24,Female
NASAW00011921,1970-06-22,Male
NASAW00011922,1985-02-13,Male
NASAW00011923,1985-04-21,Female
NASAW00011924,1985-04-23,Male
NASAW00011925,1984-05-05,Female
NASAW00011926,1983-09-15,Male
NASAW00011927,1984-01-21,Female
NASAW00011928,1984-03-06,Female
NASAW00011929,1962-08-08,Female
NASAW00011930,1952-10-31,Female
NASAW00011931,1984-05-12,Male
NASAW00011932,1984-02-08,Female
NASAW00011933,1982-09-01,Male
NASAW00011934,1983-04-13,Male
NASAW00011935,1983-05-19,Female
NASAW00011936,1982-10-09,Male
NASAW00011937,1982-12-03,Male
NASAW00011938,1983-03-21,Male
NASAW00011939,1982-12-20,Male
NASAW00011940,1983-01-09,Male
NASAW00011941,1982-05-26,Male
NASAW00011942,1954-12-11,Male
NASAW00011943,1954-08-27,Female
NASAW00011944,1956-04-13,Female
NASAW00011945,1986-03-11,Male
NASAW00011946,1956-07-02,Female
NASAW00011947,1957-04-20,Female
NASAW00011948,1956-10-07,Female
NASAW00011949,1986-05-05,Female
NASAW00011950,1985-03-09,Female
NASAW00011951,1958-02-03,Female
NASAW00011952,1960-03-22,Male
NASAW00011953,1981-03-03,Female
NASAW00011954,1981-02-13,Male
NASAW00011955,1980-10-02,Male
NASAW00011956,1985-08-30,Female
NASAW00011957,1979-02-09,Female
NASAW00011958,1978-07-06,Male
NASAW00011959,1978-10-05,Female
NASAW00011960,1978-12-31,Female
NASAW00011961,1978-12-22,Female
NASAW00011962,1982-05-28,Female
NASAW00011963,1960-12-10,Male
NASAW00011964,1967-02-13,Male
NASAW00011965,1962-04-18,Female
NASAW00011966,1967-02-13,Male
NASAW00011967,1962-08-10,Female
NASAW00011968,1964-04-19,Female
NASAW00011969,1964-01-22,Male
NASAW00011970,1984-11-12,Female
NASAW00011971,1979-03-03,Female
NASAW00011972,1979-09-20,Female
NASAW00011973,1979-08-03,Female
NASAW00011974,1979-08-07,Male
NASAW00011975,1980-04-02,Female
NASAW00011976,1970-05-22,Female
NASAW00011977,1964-11-19,Female
NASAW00011978,1977-10-18,Male
NASAW00011979,1962-11-05,Male
NASAW00011980,1963-06-17,Female
NASAW00011981,1962-08-03,Female
NASAW00011982,1962-10-02,Female
NASAW00011983,1968-02-24,Female
NASAW00011984,1962-12-04,Male
NASAW00011985,1963-05-18,Female
NASAW00011986,1969-01-20,Male
NASAW00011987,1973-05-26,Female
NASAW00011988,1968-02-17,Female
NASAW00011989,1984-03-20,Female
NASAW00011990,1968-01-12,Female
NASAW00011991,1968-02-07,Male
NASAW00011992,1972-06-09,Female
NASAW00011993,1977-09-12,Female
NASAW00011994,1977-10-18,Female
NASAW00011995,1965-12-12,Male
NASAW00011996,1966-01-30,Female
NASAW00011997,1971-04-04,Female
NASAW00011998,1966-02-07,Female
NASAW00011999,1965-12-03,Male
NASAW00012000,1970-09-09,Female
NASAW00012001,1981-12-30,Female
NASAW00012002,1969-08-05,Female
NASAW00012003,1979-09-04,Female
NASAW00012004,1974-12-16,Male
NASAW00012005,1973-07-13,Male
NASAW00012006,1973-03-12,Male
NASAW00012007,1967-01-23,Female
NASAW00012008,1967-02-19,Female
NASAW00012009,1963-01-31,Female
NASAW00012010,1962-08-26,Male
NASAW00012011,1940-08-16,Female
NASAW00012012,1971-10-19,Female
NASAW00012013,1958-09-04,Female
NASAW00012014,1954-08-09,Male
NASAW00012015,1982-01-06,Male
NASAW00012016,1981-06-11,Female
NASAW00012017,1982-04-26,Male
NASAW00012018,1986-01-30,Male
NASAW00012019,1986-05-13,Female
NASAW00012020,1985-03-13,Female
NASAW00012021,1951-08-13,Female
NASAW00012022,1986-05-22,Male
NASAW00012023,1984-01-05,Male
NASAW00012024,1983-12-24,Male
NASAW00012025,1983-12-16,Male
NASAW00012026,1984-01-14,Male
NASAW00012027,1984-04-24,Female
NASAW00012028,1983-05-11,Female
NASAW00012029,1983-04-15,Male
NASAW00012030,1982-08-05,Female
NASAW00012031,1985-04-17,Male
NASAW00012032,1984-11-22,Male
NASAW00012033,1984-10-29,Female
NASAW00012034,1946-09-11,Male
NASAW00012035,1946-12-20,Male
NASAW00012036,1946-08-06,Female
NASAW00012037,1949-03-13,Female
NASAW00012038,1949-02-06,Male
NASAW00012039,1948-08-12,Male
NASAW00012040,1982-02-15,Male
NASAW00012041,1986-06-03,Male
NASAW00012042,1981-03-26,Male
NASAW00012043,1980-03-20,Male
NASAW00012044,1979-11-24,Female
NASAW00012045,1979-12-23,Male
NASAW00012046,1980-01-15,Female
NASAW00012047,1979-09-22,Female
NASAW00012048,1983-05-16,Female
NASAW00012049,1973-10-09,Female
NASAW00012050,1978-09-10,Male
NASAW00012051,1984-03-19,Male
NASAW00012052,1972-11-23,Female
NASAW00012053,1972-11-11,Male
NASAW00012054,1973-12-02,Male
NASAW00012055,1974-05-20,Female
NASAW00012056,1947-12-13,Male
NASAW00012057,1948-09-11,Female
NASAW00012058,1948-12-30,Female
NASAW00012059,1948-11-29,Male
NASAW00012060,1948-10-13,Male
NASAW00012061,1948-11-05,Male
NASAW00012062,1949-12-02,Male
NASAW00012063,1950-03-08,Male
NASAW00012064,1955-10-06,Male
NASAW00012065,1949-12-31,Male
NASAW00012066,1950-02-09,Male
NASAW00012067,1950-05-14,Male
NASAW00012068,1949-11-19,Female
NASAW00012069,1950-05-01,Male
NASAW00012070,1950-03-03,Male
NASAW00012071,1949-09-30,Male
NASAW00012072,1950-02-21,Male
NASAW00012073,1950-02-20,Male
NASAW00012074,1961-04-22,Female
NASAW00012075,1949-12-24,Male
NASAW00012076,1955-02-22,Female
NASAW00012077,1956-03-17,Female
NASAW00012078,1950-08-18,Male
NASAW00012079,1956-10-09,Male
NASAW00012080,1951-12-07,Female
NASAW00012081,1957-06-01,Female
NASAW00012082,1952-04-10,Female
NASAW00012083,1951-08-28,Female
NASAW00012084,1953-02-03,Male
NASAW00012085,1953-06-23,Male
NASAW00012086,1953-02-09,Female
NASAW00012087,1958-07-10,Male
NASAW00012088,1953-01-18,Female
NASAW00012089,1958-10-20,Male
NASAW00012090,1954-01-02,Female
NASAW00012091,1959-11-09,Male
NASAW00012092,1953-08-08,Male
NASAW00012093,1954-05-08,Male
NASAW00012094,1954-03-19,Female
NASAW00012095,1953-08-24,Male
NASAW00012096,1953-08-26,Female
NASAW00012097,1955-05-13,Male
NASAW00012098,1955-04-24,Female
NASAW00012099,1955-05-18,Female
NASAW00012100,1954-10-22,Male
NASAW00012101,1954-10-22,Male
NASAW00012102,1954-12-02,Male
NASAW00012103,1960-10-08,Female
NASAW00012104,1960-01-08,Female
NASAW00012105,1954-11-13,Female
NASAW00012106,1955-12-06,Male
NASAW00012107,1961-08-11,Male
NASAW00012108,1961-02-19,Male
NASAW00012109,1955-09-17,Female
NASAW00012110,1955-08-03,Female
NASAW00012111,1956-02-01,Female
NASAW00012112,1955-12-07,Female
NASAW00012113,1968-02-16,Male
NASAW00012114,1957-05-06,Male
NASAW00012115,1956-08-07,Female
NASAW00012116,1956-08-21,Female
NASAW00012117,1957-01-30,Male
NASAW00012118,1967-07-23,Female
NASAW00012119,1956-11-28,Male
NASAW00012120,1958-01-08,Male
NASAW00012121,1958-03-25,Male
NASAW00012122,1958-06-17,Female
NASAW00012123,2065-12-12,Male
NASAW00012124,1962-08-08,Female
NASAW00012125,1962-07-12,Female
NASAW00012126,1963-05-18,Female
NASAW00012127,1962-06-13,Female
NASAW00012128,1967-12-13,Female
NASAW00012129,1962-03-21,Female
NASAW00012130,1962-02-09,Female
NASAW00012131,1961-04-15,Male
NASAW00012132,1961-05-18,Female
NASAW00012133,1961-06-24,Female
NASAW00012134,1966-09-19,Male
NASAW00012135,1962-10-09,Male
NASAW00012136,1938-05-08,Male
NASAW00012137,1938-05-04,Male
NASAW00012138,1939-05-26,Male
NASAW00012139,1944-03-11,Male
NASAW00012140,1970-09-08,Male
NASAW00012141,1976-09-16,Female
NASAW00012142,1981-07-02,Female
NASAW00012143,1971-05-13,Male
NASAW00012144,1971-05-10,Female
NASAW00012145,1976-09-30, 
NASAW00012146,1971-01-11,Male
NASAW00012147,1970-06-27,F
NASAW00012148,1970-06-05,F
NASAW00012149,1975-06-21,Female
NASAW00012150,1975-08-09,Male
NASAW00012151,1969-11-09,Male
NASAW00012152,1975-03-23,Male
NASAW00012153,1962-03-15,Female
NASAW00012154,1967-07-21,Female
NASAW00012155,1967-10-12,Female
NASAW00012156,1939-07-12,Female
NASAW00012157,1940-03-21,Male
NASAW00012158,1979-10-18,Male
NASAW00012159,1974-11-10,Female
NASAW00012160,1969-05-23,Female
NASAW00012161,1974-03-04,Female
NASAW00012162,1974-12-16,Male
NASAW00012163,1969-03-04,Male
NASAW00012164,1974-04-09,Male
NASAW00012165,1967-12-10,Male
NASAW00012166,1984-03-06,Male
NASAW00012167,1968-03-20,Male
NASAW00012168,1966-08-09,Male
NASAW00012169,1972-11-12,Female
NASAW00012170,1972-01-04,Female
NASAW00012171,1972-01-31,Female
NASAW00012172,1972-03-01,Male
NASAW00012173,1967-03-12,Male
NASAW00012174,1966-11-04,Male
NASAW00012175,1966-09-09,Male
NASAW00012176,1966-11-12,Male
NASAW00012177,1960-09-23,Male
NASAW00012178,1959-11-08,Male
NASAW00012179,1941-04-08,Female
NASAW00012180,1942-03-17,Female
NASAW00012181,1942-02-18,Female
NASAW00012182,1966-06-06,Female
NASAW00012183,1966-04-25,Female
NASAW00012184,1966-06-07,Male
NASAW00012185,1966-01-24,Female
NASAW00012186,1971-05-09,Male
NASAW00012187,1966-01-19,Male
NASAW00012188,9999-11-20,Female
NASAW00012189,1971-02-15,Female
NASAW00012190,1966-06-16,Male
NASAW00012191,1965-04-06,Female
NASAW00012192,1960-05-25,Female
NASAW00012193,1959-08-04,Male
NASAW00012194,1959-01-14,Female
NASAW00012195,1970-05-20,Female
NASAW00012196,1959-03-07,Female
NASAW00012197,1958-07-15,Male
NASAW00012198,1958-08-14,Male
NASAW00012199,1957-11-05,Female
NASAW00012200,1943-01-20,Male
NASAW00012201,1944-02-03,Female
NASAW00012202,1943-11-22,Male
NASAW00012203,1943-09-03,Male
NASAW00012204,1943-08-02,Male
NASAW00012205,1944-03-31,Female
NASAW00012206,1944-10-09,Female
NASAW00012207,1945-12-18,Male
NASAW00012208,1945-08-18,Female
NASAW00012209,1945-12-24,Female
NASAW00012210,1984-03-24,Male
NASAW00012211,1985-02-23,Male
NASAW00012212,1974-11-16,Female
NASAW00012213,1974-01-29,Male
NASAW00012214,1968-03-19,Female
NASAW00012215,1968-06-12,Female
NASAW00012216,1967-09-30,Male
NASAW00012217,1966-12-31,Male
NASAW00012218,1967-05-26,Male
NASAW00012219,1977-10-08,Male
NASAW00012220,1966-07-16,Female
NASAW00012221,1966-07-09,Female
NASAW00012222,1966-09-17,Female
NASAW00012223,1966-08-19,Female
NASAW00012224,1941-03-17,Male
NASAW00012225,1964-05-01,Female
NASAW00012226,1968-04-06,Female
NASAW00012227,1963-02-08,Female
NASAW00012228,1963-02-23,Female
NASAW00012229,1962-05-17,Female
NASAW00012230,1961-08-11,Male
NASAW00012231,1960-09-15,Female
NASAW00012232,1960-10-11,Male
NASAW00012233,1960-11-05,Male
NASAW00012234,1959-08-25,Male
NASAW00012235,1949-05-22,Female
NASAW00012236,1946-12-04,Female
NASAW00012237,1952-05-07,Female
NASAW00012238,1952-07-24,Female
NASAW00012239,1947-11-29,Male
NASAW00012240,1986-06-03,Male
NASAW00012241,1985-05-05,Female
NASAW00012242,1984-08-03,Male
NASAW00012243,1985-11-15,Female
NASAW00012244,1986-05-22,Female
NASAW00012245,1984-05-25,Male
NASAW00012246,1985-04-10,Male
NASAW00012247,1985-04-16,Female
NASAW00012248,9999-09-11,Male
NASAW00012249,1984-03-15,Male
NASAW00012250,1982-10-06,Female
NASAW00012251,1982-10-07,Male
NASAW00012252,1983-03-31,Male
NASAW00012253,1982-08-14,Female
NASAW00012254,1948-08-25,Male
NASAW00012255,1978-01-30,Female
NASAW00012256,1972-10-19,Female
NASAW00012257,1966-10-04,Male
NASAW00012258,1967-03-27,Female
NASAW00012259,1972-04-12,Female
NASAW00012260,1972-05-01,Female
NASAW00012261,1966-04-25,Female
NASAW00012262,1965-11-19,Female
NASAW00012263,1965-09-12,Male
NASAW00012264,1976-08-16,Male
NASAW00012265,1964-12-30,Male
NASAW00012266,1970-03-13,Female
NASAW00012267,1963-11-07,Male
NASAW00012268,1963-10-30,Male
NASAW00012269,1971-06-10,Male
NASAW00012270,1966-03-09,Female
NASAW00012271,1965-03-15,Male
NASAW00012272,1965-06-08,Male
NASAW00012273,1964-04-12,Male
NASAW00012274,1976-03-25,Male
NASAW00012275,1981-06-07,Female
NASAW00012276,1976-01-10,Female
NASAW00012277,1974-10-20,Female
NASAW00012278,1974-07-06,Female
NASAW00012279,1975-12-19,Male
NASAW00012280,1981-06-04,Female
NASAW00012281,1981-04-19,Female
NASAW00012282,1981-01-03,Male
NASAW00012283,1980-08-06,Male
NASAW00012284,1980-09-28,Female
NASAW00012285,1975-05-28,Female
NASAW00012286,1975-03-06,Male
NASAW00012287,1957-06-30,Male
NASAW00012288,1984-09-17,Female
NASAW00012289,1984-09-16,Male
NASAW00012290,1973-10-23,Female
NASAW00012291,1949-10-17,Male
NASAW00012292,1955-03-21,Male
NASAW00012293,1949-11-14,Female
NASAW00012294,1950-05-31,Male
NASAW00012295,1956-03-17,Male
NASAW00012296,1961-08-11,Male
NASAW00012297,1950-07-08,Female
NASAW00012298,1950-11-18,Female
NASAW00012299,1950-12-08,Male
NASAW00012300,1952-01-15,Female
NASAW00012301,1952-06-03,Female
NASAW00012302,1951-08-30,Male
NASAW00012303,1951-10-14,Female
NASAW00012304,1957-06-01,Male
NASAW00012305,1960-01-03,Male
NASAW00012306,1958-12-04,Male
NASAW00012307,1960-05-12,Male
NASAW00012308,1970-10-19,Female
NASAW00012309,1960-04-03,Male
NASAW00012310,1960-01-08,Female
NASAW00012311,1965-06-15,Male
NASAW00012312,1970-05-06,Male
NASAW00012313,1958-12-03,Male
NASAW00012314,1959-03-20,Female
NASAW00012315,1959-03-19,Female
NASAW00012316,1964-11-21,Male
NASAW00012317,1959-03-24,Male
NASAW00012318,1958-10-31,Female
NASAW00012319,1958-01-08,Female
NASAW00012320,1963-06-14,Female
NASAW00012321,1956-08-14,Female
NASAW00012322,1957-01-29,Female
NASAW00012323,1962-01-11,Male
NASAW00012324,1956-08-26,Male
NASAW00012325,1956-09-14,Female
NASAW00012326,1956-08-02,Male
NASAW00012327,1961-01-14,Male
NASAW00012328,1955-09-15,Male
NASAW00012329,1956-04-21,Female
NASAW00012330,1954-12-19,Male
NASAW00012331,1954-01-14,Female
NASAW00012332,1954-02-07,Male
NASAW00012333,1954-05-18,Male
NASAW00012334,1959-08-17,Male
NASAW00012335,1959-02-19,Male
NASAW00012336,1953-01-05,Male
NASAW00012337,1981-04-07,Male
NASAW00012338,1982-01-05,Female
NASAW00012339,1982-01-05,Male
NASAW00012340,1982-05-05,Female
NASAW00012341,1982-03-09,Female
NASAW00012342,1980-09-05,Female
NASAW00012343,1979-12-02,Female
NASAW00012344,1980-11-29,Female
NASAW00012345,1980-12-24,Female
NASAW00012346,1980-11-18,Male
NASAW00012347,1980-08-20,Female
NASAW00012348,1979-08-24,Male
NASAW00012349,1980-01-23,Female
NASAW00012350,1984-02-22,Male
NASAW00012351,1984-09-28,Female
NASAW00012352,1978-09-02,Male
NASAW00012353,1984-10-16,Male
NASAW00012354,1984-08-03,Male
NASAW00012355,1984-03-19,Female
NASAW00012356,1977-02-18,Female
NASAW00012357,1982-04-03,Female
NASAW00012358,1975-08-26,Female
NASAW00012359,1975-08-19,Female
NASAW00012360,1977-01-22,Male
NASAW00012361,1982-03-28,Female
NASAW00012362,1952-07-02,Male
NASAW00012363,1947-06-24,Female
NASAW00012364,1947-04-27,Female
NASAW00012365,1953-02-08,Male
NASAW00012366,1948-01-07,Female
NASAW00012367,1979-02-19,Female
NASAW00012368,1978-12-20,Male
NASAW00012369,1969-04-04,Male
NASAW00012370,1968-12-24,Male
NASAW00012371,1968-08-13,Female
NASAW00012372,1969-03-17,Male
NASAW00012373,1985-08-02,Male
NASAW00012374,1985-09-25,Female
NASAW00012375,1985-08-23,Male
NASAW00012376,1985-09-29,Female
NASAW00012377,1985-09-11,Male
NASAW00012378,1985-02-16,Female
NASAW00012379,1984-02-16,Female
NASAW00012380,1979-09-04,Male
NASAW00012381,1985-02-13,Male
NASAW00012382,1983-11-08,Female
NASAW00012383,1978-10-18,Male
NASAW00012384,1979-03-31,Female
NASAW00012385,1978-09-24,Female
NASAW00012386,1977-10-06,Female
NASAW00012387,1983-12-24,Female
NASAW00012388,1978-01-16,Female
NASAW00012389,1978-01-03,Male
NASAW00012390,1983-09-14,Female
NASAW00012391,1983-02-20,Female
NASAW00012392,1977-01-22,Female
NASAW00012393,1977-01-12,Female
NASAW00012394,1982-03-09,Female
NASAW00012395,1982-04-21,Male
NASAW00012396,1976-10-11,Female
NASAW00012397,1975-09-11,Male
NASAW00012398,1977-01-08,Female
NASAW00012399,1977-03-11,Male
NASAW00012400,1977-05-11,Male
NASAW00012401,1982-05-05,Female
NASAW00012402,1976-09-11,Male
NASAW00012403,1976-12-15,Male
NASAW00012404,1982-08-06,Female
NASAW00012405,1976-03-18,Male
NASAW00012406,1975-07-22,Male
NASAW00012407,1981-08-23,Male
NASAW00012408,1975-08-05,Male
NASAW00012409,1980-09-19,Female
NASAW00012410,1981-06-04,Female
NASAW00012411,1981-03-31,Male
NASAW00012412,1936-04-18,Female
NASAW00012413,1977-03-03,Male
NASAW00012414,1971-12-19,Male
NASAW00012415,1972-05-01,Female
NASAW00012416,1983-02-07,Female
NASAW00012417,1977-11-21,Female
NASAW00012418,1959-04-23,Male
NASAW00012419,1958-12-03,Female
NASAW00012420,1959-02-17,Male
NASAW00012421,1964-03-08,Male
NASAW00012422,1959-04-22,Female
NASAW00012423,1970-10-19,Female
NASAW00012424,1965-09-20,Female
NASAW00012425,1959-09-02,Male
NASAW00012426,1960-03-22,Male
NASAW00012427,1959-08-08,Female
NASAW00012428,1960-08-06,Male
NASAW00012429,1961-05-26,Male
NASAW00012430,1960-09-28,Female
NASAW00012431,1960-09-17,Male
NASAW00012432,1961-01-21,Male
NASAW00012433,1966-07-16,Male
NASAW00012434,1960-09-05,Male
NASAW00012435,1961-04-08,Female
NASAW00012436,1960-12-15,Male
NASAW00012437,1971-12-09,Male
NASAW00012438,1966-10-15,Female
NASAW00012439,1961-11-23,Female
NASAW00012440,1962-04-11,Male
NASAW00012441,1963-05-21,Male
NASAW00012442,1963-02-01,Female
NASAW00012443,1962-11-19,Male
NASAW00012444,1962-10-20,Female
NASAW00012445,1962-09-24,Male
NASAW00012446,1963-01-31,Female
NASAW00012447,1963-04-23,Male
NASAW00012448,1974-11-13,Female
NASAW00012449,1963-09-06,Male
NASAW00012450,1964-03-22,Male
NASAW00012451,1964-02-07,Female
NASAW00012452,1964-05-23,Male
NASAW00012453,1963-11-07,Female
NASAW00012454,1964-08-29,Male
NASAW00012455,1964-10-07,Male
NASAW00012456,1965-02-12,Male
NASAW00012457,1965-03-01,Female
NASAW00012458,1973-11-24,Female
NASAW00012459,1974-03-13,Female
NASAW00012460,1974-05-23,Female
NASAW00012461,1979-02-24,Female
NASAW00012462,1973-12-09,Male
NASAW00012463,1974-05-23,Male
NASAW00012464,1973-04-13,Male
NASAW00012465,1978-02-19,Female
NASAW00012466,1972-10-23,Male
NASAW00012467,1983-10-01,Female
NASAW00012468,1978-10-21,Male
NASAW00012469,1972-02-18,Male
NASAW00012470,1971-08-06,Female
NASAW00012471,1972-11-10,Female
NASAW00012472,1977-09-05,Male
NASAW00012473,1972-05-14,Male
NASAW00012474,1977-12-18,Female
NASAW00012475,1970-09-22,Male
NASAW00012476,1981-08-02,Male
NASAW00012477,1971-06-22,Female
NASAW00012478,1970-08-17,Male
NASAW00012479,1970-11-09,Female
NASAW00012480,1980-10-10,Female
NASAW00012481,1970-03-07,Male
NASAW00012482,1969-09-03,Male
NASAW00012483,1969-10-02,Female
NASAW00012484,1975-03-31,Female
NASAW00012485,1975-03-22,Female
NASAW00012486,1980-08-05,Female
NASAW00012487,1975-04-03,Male
NASAW00012488,1968-11-08,Male
NASAW00012489,1977-10-21,Male
NASAW00012490,1972-01-25,Female
NASAW00012491,1971-08-06,Male
NASAW00012492,1972-03-03,Female
NASAW00012493,1970-12-21,Male
NASAW00012494,1975-08-15,Female
NASAW00012495,1969-09-12,Male
NASAW00012496,1980-07-18,Female
NASAW00012497,1969-03-21,Female
NASAW00012498,1979-10-14,Male
NASAW00012499,1984-02-01,Female
NASAW00012500,1984-08-12,Female
NASAW00012501,1985-03-12,Male
NASAW00012502,1985-05-17,Male
NASAW00012503,1985-02-16,Female
NASAW00012504,1968-08-19,Male
NASAW00012505,1968-08-02,Male
NASAW00012506,1968-12-29,Male
NASAW00012507,1973-09-22,Male
NASAW00012508,1968-01-29,Female
NASAW00012509,1967-08-19,Male
NASAW00012510,1968-05-19,Male
NASAW00012511,1983-09-14,Male
NASAW00012512,1983-11-19,Female
NASAW00012513,1983-09-17,Male
NASAW00012514,1983-06-08,Female
NASAW00012515,1982-12-01,Female
NASAW00012516,1982-11-24,Female
NASAW00012517,1983-02-22,Female
NASAW00012518,1983-03-27,Female
NASAW00012519,1983-06-16,Male
NASAW00012520,1982-05-25,Male
NASAW00012521,1980-07-11,Female
NASAW00012522,1982-03-07,Female
NASAW00012523,1982-06-02,Male
NASAW00012524,1980-07-23,Female
NASAW00012525,1980-10-25,Female
NASAW00012526,1986-05-15,Female
NASAW00012527,1965-05-23,Male
NASAW00012528,1964-08-29,Male
NASAW00012529,1965-04-09,Male
NASAW00012530,1977-11-23,Female
NASAW00012531,1977-12-31,Female
NASAW00012532,1978-09-06,Male
NASAW00012533,1946-05-07,Male
NASAW00012534,1967-12-13,Female
NASAW00012535,1973-02-14,Male
NASAW00012536,1966-12-15,Male
NASAW00012537,1972-03-14,Male
NASAW00012538,1967-02-18,Female
NASAW00012539,1940-11-22,Male
NASAW00012540,1942-03-06,Male
NASAW00012541,1968-04-02,Male
NASAW00012542,1967-12-25,Male
NASAW00012543,1963-07-20,Male
NASAW00012544,1963-09-24,Male
NASAW00012545,1968-02-29,Male
NASAW00012546,1962-05-16,Male
NASAW00012547,1978-10-21,Male
NASAW00012548,1960-08-06,Female
NASAW00012549,1960-08-06,Female
NASAW00012550,1960-04-01,Male
NASAW00012551,1948-11-29,Male
NASAW00012552,1944-03-11,Male
